Title,Views,Notes
Texas Department of Criminal Justice Releases FY 2023,8,"City of Austin —
All inmate releases from the TDCJ for FY 2023"
Crowdfunding Offerings Data Sets Archive,8,"Securities and Exchange Commission —
The SEC’s Crowdfunding Offerings Data Sets provide a quarterly look at offerings that rely on the Regulation Crowdfunding exemption."
Sweat and Toil API,8,"Department of Labor —
These datasets contain information on child labor and forced labor worldwide from ILAB’s three flagship reports: Findings on the Worst Forms of Child Labor; List of..."
"TIGER/Line Shapefile, 2022, County, Bexar County, TX, All Lines",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Outer Continental Shelf Oil and Natural Gas Wells - Alaska Region NAD 83,8,"Department of the Interior —
Surface Locations of Boreholes drilled for exploration or oil and gas production. Dataset is maintained by BOEM AK RE. All wells drilled before 1986 are mapped in..."
Associated Address by Borough and Community District,8,"City of New York —
Presents the number of cases and individuals for each shelter case type by borough and community district"
Blood pressure checks on NYC HealthMap,8,"City of New York —
The dataset includes locations in NYC that offer free blood pressure checks at self-serve blood pressure kiosks or by pharmacy staff. Blood pressure check data..."
NYC Council Constituent Services,8,"City of New York —
The dataset comes from CouncilStat, which is used by many NYC Council district offices to enter and track constituent cases that can range from issues around..."
GSA IT Reform Cost Savings/Avoidance,8,"General Services Administration —
GSA IT provides data related to Agency IT initiatives that save or avoid expenditures. This data is provided as a requirement of OMB's Integrated Data Collection..."
Discovery of Abnormal Flight Patterns in Flight Track Data,8,"National Aeronautics and Space Administration —
The National Airspace System (NAS) is an ever changing and complex engineering system. As the Next Generation Air Transportation System (NextGen) is developed, there..."
Gateway National Weather Service (NWS) Service Records and Retention System (SRRS),8,"National Oceanic and Atmospheric Administration, Department of Commerce —
The Service Records Retention System (SRRS) was developed to store weather observations, summaries, forecasts, warnings, and advisories provided by the U.S. National..."
EZ Pass Readers 2021-July 2024,8,"City of New York —
E-Z Pass readers are installed throughout NYC to determine traffic speed on local streets. The collected data were used to plan traffic calming and reorganizations..."
Declustered catalog of natural earthquakes without duplicates,8,"Department of the Interior —
The U. S. Geological Survey (USGS) makes long-term seismic hazard forecasts that are used in building codes. The hazard models usually consider only natural..."
NYC Clean Heat Dataset (Historical),8,"City of New York —
NYC Clean Heat dataset"
Global Database of Humanitarian Organisations (GDHO),8,"US Agency for International Development —
GDHO is a global compendium of organisations that provide aid in humanitarian crises. The database includes basic organisational and operational information on these..."
Data from: A field-scale sensor network data set for monitoring and modeling the spatial and temporal variation of soil moisture in a dryland agricultural field,8,"Department of Agriculture —
Automated in situ soil sensor network - the data set includes hourly and daily measurements of volumetric water content, soil temperature, and bulk electrical..."
"Series Information for American Indian/Alaska Native/Native Hawaiian Areas (AIANNH) National TIGER/Line Shapefiles, Current",8,"U.S. Census Bureau, Department of Commerce —
This is a series-level metadata record. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
City Treasury Sales,8,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
A listing of all the properties currently available for sale at the City's Treasurer Sale. NOTE: The data feed for this dataset stopped updating in late December. We..."
Libraries - 2023 Visitors by Location,8,"City of Chicago —
The Chicago Public Library consists of the Harold Washington Library Center, Sulzer, Legler and Woodson regional libraries and over 70 neighborhood branches. Chicago..."
QuitNowTXT Text Messaging Library,8,"U.S. Department of Health & Human Services —
Overview: The QuitNowTXT text messaging program is designed as a resource that can be adapted to specific contexts including those outside the United States and in..."
Census Congressional Districts Shapefile 2022,8,"Department of Justice —
Census Congressional Districts Shapefile"
"Racial Disparities in Virginia Felony Court Cases, 2007-2015",8,"Department of Justice —
Research examining racial disparities in the court system has typically focused on only one of the discrete stages in the criminal process (the charging, conviction,..."
Oblique Aerial Images For DC,8,"District of Columbia —
As of October 2021, this application is offline. Oblique Aerial Images For DC displays multiple 45 degree angled views for any location. An array of five digital..."
Fire Protection Districts,8,"Lake County, Illinois —
Download In State Plane Projection Here. Fire district boundaries are based on legal documents filed in the office of the Recorder of Deeds and on court orders...."
Demographics in the California Legislature,8,"State of California —
The dataset contains racial/ethnic data for California's legislators since the end of the 2015-2016 legislative session through those elected for the current session..."
BSEE Data Center - Scanned Active-Inactive Leases Query,8,"Department of the Interior —
Scanned Active-Inactive Leases Query - You can now request these same well files, well logs, and well data as a free download through the File Request System (..."
2011 NYC Community Schools Survey,8,"City of New York —
Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever..."
Abandoned Checks,8,"Montgomery County of Maryland —
This dataset includes older, uncashed checks for Montgomery County government. It does not include agency spending. Data considered sensitive or confidential and will..."
"ABI G17 Deep Blue L3 Monthly Aerosol Data, 1 x 1 degree grid",8,"National Aeronautics and Space Administration —
The ABI G17 Deep Blue L3 Monthly Aerosol Data, 1 x 1 degree grid product, short-name AERDB_M3_ABI_G17, derived by aggregating the L3 daily (AERDB_D3_ABI_G17) input..."
Behavior of female adult Pacific lamprey (Entosphenus tridentatus) exposed to natural and synthesized odors,8,"Department of the Interior —
We investigated the behavioral response of female Pacific lamprey to three odors and to differences in water flow. Adult lamprey were challenged with: 1) washings..."
Metro,8,"Montgomery County of Maryland —
Metro stations in Montgomery County"
Administrative Boundaries of National Park System Units - National Geospatial Data Asset (NGDA) NPS National Parks Dataset,8,"Department of the Interior —
National Park Service unit boundaries."
A suite of atomic structure codes originally developed by R. D. Cowan adapted for Windows-based personal computers.,8,"National Institute of Standards and Technology —
The package consists of a set of computer programs for calculation of energy levels, radiative transition wavelengths and probabilities, electron impact excitation..."
BSEE Data Center - Lease Owner Online Query,8,"Department of the Interior —
Lease Owner Online Query"
"TIGER/Line Shapefile, 2019,  nation, U.S., Current American Indian/Alaska Native/Native Hawaiian Areas National (AIANNH)
National",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line Shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
California and Justice40 Disadvantaged or Low-income Communities,8,"State of California —
Locations of disadvantaged and/or low-income communities designated by both California and Justice40.Definitions:California-designated Disadvantaged Communities – The..."
Government Securities Dealers Reports,8,"Board of Governors of the Federal Reserve System —
These reports collect information on market activity from primary dealers in U.S. government securities. This family of reports consists of the Weekly Report of..."
Whooping Crane Migration through North Dakota and South Dakota,8,"Department of the Interior —
The whooping crane is a federally endangered species that the bulk of the world population winters at Aransas National Wildlife Refuge down in Texas and typically..."
Low Poverty Index,8,"Department of Housing and Urban Development —
The Low Poverty Index captures the depth and intensity of poverty in a given neighborhood. The index is based on the poverty rate which is determined at the census..."
Soil Moisture Active Passive (SMAP) L1-L3 Ancillary Satellite Data V001,8,"National Aeronautics and Space Administration —
This ancillary SMAP product contains two dynamic data sets describing 1) the attitude and 2) the trajectory of the SMAP satellite. The data files are generated using..."
Supercritical Airfoil Coordinates,8,"National Aeronautics and Space Administration —
Rectangular Supercritical Wing (Ricketts) - design and measured locations are provided in an Excel file RSW_airfoil_coordinates_ricketts.xls . One sheet is with Non..."
APD Immigration Status Inquiries,8,"City of Austin —
DATASET DESCRIPTION: This dataset includes documented incidents in which APD inquired into a subject’s immigration status, in accordance with City of Austin..."
NOAA CYGNSS Level 2 Science Wind Speed 25-km Product Version 1.2,8,"National Aeronautics and Space Administration —
This dataset contains the Version 1.2 NOAA CYGNSS Level 2 Science Wind Speed Product Version 1.2 which provides the time-tagged and geolocated average wind speed..."
IGBT accelerated aging data set.,8,"National Aeronautics and Space Administration —
Preliminary data from thermal overstress accelerated aging using the aging and characterization system. The data set contains aging data from 6 devices, one device..."
Port Authority Trans-Hudson (PATH) Monthly Ridership: Beginning 1996,8,"State of New York —
Total Port Authority Trans-Hudson (PATH) system linked passenger trips, by month beginning 1996 through current year period. Trips are based on station turnstile..."
"2020 Cartographic Boundary File (SHP), Current Place for Arizona, 1:500,000",8,"U.S. Census Bureau, Department of Commerce —
The 2020 cartographic boundary shapefiles are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File /..."
"Criminal Behavior of Gangs in Aurora and Denver, Colorado, and Broward County, Florida:  1993-1994",8,"Department of Justice —
This study was undertaken to measure the criminal behavior of gangs, including their involvement in delinquent behavior such as drug use and drug trafficking..."
"TIGER/Line Shapefile, 2022, State, Texas, TX, Unified School Districts",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
"CATHGEN Traffic-related air pollution, vascular disease, and epigenetic aging",8,"U.S. Environmental Protection Agency —
The data contains location information, DNA methylation (transformed into epigenetic aging biomakers), dates of examination, demographics, disease diagnoses, and..."
NOAA AOML PMEL Hurricane Monitoring 2024 NRT Saildrone 1045,8,"National Oceanic and Atmospheric Administration, Department of Commerce —
(1) Real-time steering of USVs toward tropical cyclones and other strong low-pressure systems, based on forecasted tracks and the knowledge and experience gained from..."
Global Man-made Impervious Surface (GMIS) Dataset From Landsat,8,"National Aeronautics and Space Administration —
The Global Man-made Impervious Surface (GMIS) Dataset From Landsat consists of global estimates of fractional impervious cover derived from the Global Land Survey..."
Vulnerable and Special Population,8,"Department of Homeland Security —
This dataset provides data involving vulnerable and special populations based on the vulnerabilities currently captured in ERO's Segregation Review Management System..."
Introduction to Planetary Image Analysis and Geologic Mapping in ArcGIS Pro,8,"Department of the Interior —
GIS project files and imagery data required to complete the Introduction to Planetary Image Analysis and Geologic Mapping in ArcGIS Pro tutorial. These data cover the..."
Local Air Quality,8,"Town of Chapel Hill, North Carolina —
This dataset contains air quality data collected using a PurpleAir Dual Laser Air Quality Sensor located at the Chapel Hill Public Library. The sensor measures fine..."
"Consolidated State Performance Report, 2011-12",8,"Department of Education —
The Consolidated State Performance Report, 2011-12 (CSPR 2011-12), is part of the Consolidated State Performance Report (CSPR) program: a required annual reporting..."
Time Series Economic Indicators Time Series -: Monthly Retail Trade and Food Services,8,"Department of Commerce —
The U.S. Census Bureau.s economic indicator surveys provide monthly and quarterly data that are timely, reliable, and offer comprehensive measures of the U.S...."
Checkbook NYC 2.0,8,"City of New York —
Checkbook NYC 2.0 provides unprecedented access to view and track how New York City government spends its nearly $70 billion annual budget."
"TIGER/Line Shapefile, 2023, County, Fort Bend County, TX, Topological Faces (Polygons With All Geocodes)",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
FedRAMP Authorization Letters,8,"General Services Administration —
A JSON export of cloud service providers authorized and in process of authorization by FedRAMP, as well as the agencies that use them."
Solar Permit Applications,8,"Town of Cary, North Carolina —
This dataset contains a subset of data from our Building Permit Application dataset. The data has been filtered to only include permit applications for solar (permit..."
National Instant Criminal Background Check System (FBI),8,"Department of Justice —
The National Instant Criminal Background Check System (NICS) is a national system that provides the timely and accurate determination of a person's eligibility to..."
"CALIPSO Lidar Level 2 5 km Aerosol Layer Data, V4-20",8,"National Aeronautics and Space Administration —
CAL_LID_L2_05kmALay-Standard-V4-20 is the Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation (CALIPSO) Lidar Level 2 5 km Aerosol Layer Data, Version..."
USAID Comprehensive Data Inventory December 2024,8,"US Agency for International Development —
This is an inventory of all data assets maintained by USAID."
CoSMoS (Coastal Storm Modeling System) Central California v3.1 flood-hazard projections: 100-year storm in San Francisco County,8,"Department of the Interior —
This data contains geographic extents of projected coastal flooding, low-lying vulnerable areas, and maximum/minimum flood potential (flood uncertainty) associated..."
"Series Information for 118th Congressional District National TIGER/Line Shapefiles, Current",8,"U.S. Census Bureau, Department of Commerce —
This is a series-level metadata record. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
Transformational Tools and Technologies Project,8,"National Aeronautics and Space Administration —
The Transformational Tools and Technologies (TTT) Project advances state-of-the-art computational and experimental tools and technologies that are vital to aviation..."
Ocean Color,8,"National Aeronautics and Space Administration —
Satellite-derived Ocean Color Data sets from historical and currently operational NASA and International Satellite missions including the NASA Coastal Zone Color..."
Material Properties for Brady Hot Springs Nevada USA from PoroTomo Project,8,"Department of Energy —
The PoroTomo team has completed inverse modeling of the three data sets (seismology, geodesy, and hydrology) individually, as described previously. The estimated..."
"2020 Cartographic Boundary File (KML), Current County Subdivision for Kentucky, 1:500,000",8,"U.S. Census Bureau, Department of Commerce —
The 2020 cartographic boundary KMLs are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File / Topologically..."
IDEA Section 618 Data Products: Static Tables- Part C,8,"Department of Education —
IDEA Section 618 Data Products: Static Tables ##Part C Child Count and Settings 1. [Number of infants and toddlers ages birth through 2 and 3 and older, and..."
"Locations of bison (Bos bison) marked with GPS collars at Tallgrass Prairie National Preserve, 2021-2023",8,"Department of the Interior —
The GIS shapefile ""bison_locations"" provides 132996 locations of 5 adult female bison marked with global positioning system (GPS) collars at Tallgrass Prairie..."
1.04 Fire Services Customer Survey (detail),8,"City of Tempe —
The Tempe Fire Medical Rescue Department (TFMR) is an “all hazards” department that responds to all types of calls for service. The City of Tempe collects data from..."
BSEE Data Center - eWell Weekly Activity Report (WAR) Online Query,8,"Department of the Interior —
This data set contains only Weekly Activity Reports (WAR) that were submitted via eWell since April 2004."
"TIGER/Line Shapefile, Current, County, Niagara County, NY, All Roads",8,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
Prohibited Items,8,"Department of Homeland Security —
Airport prohibited items detected overlay with geography or time hierarchy"
"TIGER/Line Shapefile, Current, State, Virginia, State Legislative District (SLD) Lower Chamber",8,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
Shot Spotter Gun Shots,8,"District of Columbia —
This data represents all ShotSpotter incidents that were classified as “Probable Gunfire”, “Single_Gunshot”, or “Multiple_Gunshots” occurring within one of the six..."
Outer Continental Shelf Oil and Natural Gas Wells - Pacific OCS Region NAD 83,8,"Department of the Interior —
This data set contains surface locations for oil and gas wells located in the Pacific Coast federal waters. Note: Wells are being added or modified continuously;..."
SDOT GIS Datasets,8,"City of Seattle —
The City of Seattle Transportation GIS Datasets | https://data-seattlecitygis.opendata.arcgis.com/datasets?t=transportation | Lifecycle status: Production | Purpose:..."
"NAPP = National Aerial Photography Program 1:40,000 Scale: 1987 - 2007",8,"Department of the Interior —
'The National Aerial Photography Program (NAPP) was coordinated by the USGS as an interagency project to acquire cloud-free aerial photographs at an altitude of..."
Iowa Liquor Sales Explorer,8,"State of Iowa —
This explorer presents spirits purchase information of Iowa Class “E” liquor licensees (e.g., grocery stores, liquor stores, convenience stores, etc.) by product and..."
Rainfed and Irrigated Cropland Areas for Africa,8,"Department of the Interior —
Agriculture consumes the largest share of freshwater globally, therefore, distinguishing between rainfed and irrigated croplands is essential for agricultural water..."
NASA Earth Observations (NEO),8,"National Aeronautics and Space Administration —
Our mission is to help you picture climate change and environmental changes happening on our home planet. Here you can search for and retrieve satellite images of..."
"United States Historical Climatology Network (USHCN), Version 2.5",8,"National Oceanic and Atmospheric Administration, Department of Commerce —
The U.S. Historical Climatology Network Monthly Data, Version 2.5 consists of precipitation and temperature data ""corrected"" for changes in station location,..."
Enterprise Dataset Inventory as of March 2024,8,"District of Columbia —
Mayor's Order 2017-115 establishes a comprehensive data policy for the District government. The data created and managed by the District government are valuable assets..."
"TIGER/Line Shapefile, Current, Nation, U.S., New England City and Town Area (NECTA)",8,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
"Tropical Cyclone PRecipitation, Infrared, Microwave, and Environmental Dataset (TC PRIMED)",8,"National Oceanic and Atmospheric Administration, Department of Commerce —
The central components of this dataset are satellite passive microwave observations centered on tropical cyclones from imagers such as AMSR2, AMSR-E, AMSU-B, ATMS,..."
TEAMER - Extreme Events Modeling for the MARMOK-OWC Wave Energy Converter,8,"Department of Energy —
Through the TEAMER program, Sandia National Laboratories (SNL) collaborated with IDOM Incorporated to study their MARMOK-Oscillating Water Column (MARMOK-OWC) wave..."
International Surface Temperature Initiative (ISTI) Global Land Surface Temperature Databank - Stage 3 Monthly,8,"National Oceanic and Atmospheric Administration, Department of Commerce —
The Global Land Surface Temperature Databank contains monthly timescale mean, maximum, and minimum temperature for approximately 40,000 stations globally. It was..."
BOEM Wind Planning Areas,8,"Department of the Interior —
This data set represents the most recent changes for the Wind Development Planning Areas in the Outer Continental Shelf. Wind Planning Areas in this dataset represent..."
Default Rates,8,"Department of Education —
Cohort default rates for the federal student loan programs and quarterly new defaults."
Built Environment Indicators and Health Map,8,"District of Columbia —
The online tool highlights how close in walking distance DC census tracts are to various features of the built environment spanning nine key drivers--education,..."
CDC STATE System E-Cigarette Legislation - Youth Access,8,"U.S. Department of Health & Human Services —
1995-2024. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. E-Cigarette Legislation—Youth Access...."
Bibliographical Metadata of the Foreign Relations of the United States Series,8,"Department of State —
The Office of the Historian is responsible, under law, for the preparation and publication of the official historical documentary record of U.S. foreign policy in the..."
Water Quality Analysis Simulation,8,"U.S. Environmental Protection Agency —
The Water Quality analysis simulation Program, an enhancement of the original WASP. This model helps users interpret and predict water quality responses to natural..."
Mental Health Wait Times,8,"State of Oklahoma —
Maintain the wait time between first contact and face-to-face visit for behavioral health treatment to less than 3 days every year through 2018."
CYGNSS Level 3 Soil Moisture Version 3.2,8,"National Aeronautics and Space Administration —
The CYGNSS Level 3 Soil Moisture V3.2 dataset is produced by CYGNSS investigators at the University Corporation for Atmospheric Research (UCAR) and the University..."
"TIGER/Line Shapefile, 2022, State, Tennessee, TN, Place",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Seattle Transportation Plan Freight Network,8,"City of Seattle —
Seattle Transportation Plan (STP) - Freight Network of streets where freight and goods movement is a priority.Freight street classifications highlight key elements of..."
"Essential Fish Habitat, Pacific Salmon GIS Data",8,"National Oceanic and Atmospheric Administration, Department of Commerce —
This file represents salmonid freshwater and estuarine Essential Fish Habitat (EFH) in the western United States. Congress, through the Magnuson-Stevens Act, defined..."
Building Energy Benchmarking,8,"District of Columbia —
The Clean and Affordable Energy Act of 2008 established that all private buildings over 50,000 gross square feet within the District of Columbia, including multifamily..."
<b>Data from: Water quality of an integrated crop–livestock system in the northern Great Plains</b>,8,"Department of Agriculture —
Integrated crop-livestock (ICL) systems can potentially increase agricultural productivity in an environmentally sustainable manner. Impacts of ICL systems on water..."
City of Austin Performance Measures,8,"City of Austin —
This dataset provides the public an opportunity to review the measures of each city department and helps to maintain open communication and transparency with Austin..."
"TIGER/Line Shapefile, Current, County, Baltimore city, MD, All Roads",8,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
"Global MODIS and FLUXNET-derived Daily Gross Primary Production, V2",8,"National Aeronautics and Space Administration —
This dataset provides global gridded daily estimates of gross primary production (GPP) and uncertainties at 0.05-degree resolution for the period 2000-03-01 to the..."
Property Tax - Allocations,8,"State of California —
2002-03 to 2023-24 Property Taxes Annual Report - Allocations, for the finance application."
"Soil Survey Geographic (SSURGO) database for Dona Ana County Area, New Mexico",8,"Earth Data Analysis Center, University of New Mexico —
This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey. The..."
"SDOH Measures for Place, ACS 2017-2021",8,"U.S. Department of Health & Human Services —
This dataset contains place-level (incorporated and census-designated places) social determinants of health (SDOH) measures from the American Community Survey 5-year..."
USAID Anticorruption Projects Database,8,"US Agency for International Development —
The Anticorruption Projects Database includes information about USAID projects with anticorruption interventions implemented worldwide between 2007 and 2013. The..."
"Zip Code Tabulation Areas, Census 2000",8,"Earth Data Analysis Center, University of New Mexico —
This data set contains zip code tabulation areas for 5-digit zip codes in New Mexico. It was obtained from the U.S. Census Bureau web page..."
"Children and Domestic Violence Services (CADVS) Study: Co-Occurring Intimate Partner Violence and Child Maltreatment in the United States, 2003-2004",8,"Department of Justice —
The goal of the Children and Domestic Violence Services (CADVS) was to provide a rich description of the variation in state, county, and local policies and practices..."
Austin Animal Center Stray Map,8,"City of Austin —
Map shows all stray cats and dogs that are currently listed in AAC's database for no longer than a week. Most will be located at AAC, but some will be held by..."
Water-table altitude of Nevada,8,"Department of the Interior —
This is a raster-based, depth to ground-water data set for the State of Nevada. The source of this data set is a statewide water-table contour data set constructed..."
2023 For Hire Vehicles Trip Data,8,"City of New York —
These records are generated from the For-Hire Vehicle (“FHV”) Trip Record submissions made by traditional livery, luxury, and black car bases. The FHV trip records..."
DYCD Contractors,8,"City of New York —
A list of all contractors providing service(s) to New York City youth and the amount of their contract"
Illegal Dumping Open Reports,8,"City of Seattle —
This represents a weekly extract from the Motorola CSR application of all open reports of illegal dumping. Illegal dumping is any junk, garbage or debris is left on..."
Using Decision Trees to Detect and Isolate Leaks in the J-2X,8,"National Aeronautics and Space Administration —
Full title: Using Decision Trees to Detect and Isolate Simulated Leaks in the J-2X Rocket Engine Mark Schwabacher, NASA Ames Research Center Robert Aguilar, Pratt..."
Damage Propagation Modeling for Aircraft Engine Run-to-Failure Simulation,8,"National Aeronautics and Space Administration —
This paper describes how damage propagation can be modeled within the modules of aircraft gas turbine engines. To that end, response surfaces of all sensors are..."
USGS 10-m Digital Elevation Model (DEM): Hawaii: Maui: Hillshade,8,"National Oceanic and Atmospheric Administration, Department of Commerce —
A 10-meter resolution land surface digital elevation model (DEM) grayscale hillshade for the island of Maui in Hawaii derived from United States Geological Survey..."
Mineral Commodity Summaries 2024 - SILICON Data Release,8,"Department of the Interior —
This data release contains the U.S. salient statistics and world production data extracted from the SILICON data sheet of the USGS Mineral Commodity Summaries 2024."
City-Parish Employee Annual Salaries,8,"City of Baton Rouge —
City-Parish employees' annual salaries and other payroll related information. Information is calculated after the last payroll is run for the year specified. Some..."
Airport and Heliport Setbacks,8,"Department of Energy —
This dataset represents a first-order quantification of airport and heliport setback requirements based on the Federal Aviation Administration (FAA) 14 CFR Part 77.9...."
Gallium Deposits in the United States,8,"Department of the Interior —
This U.S. Geological Survey (USGS) data release provides the descriptions of the only U.S. sites—including mineral regions, mineral occurrences, and mine..."
Swimming Beach Attendance,8,"City of New York —
Attendance records for NYC Parks swimming beaches. Data Dictionary here:..."
"CryoSat-2 Level-4 Sea Ice Elevation, Freeboard, and Thickness V001",8,"National Aeronautics and Space Administration —
This data set contains estimates of Arctic sea ice thickness and concentration, ice freeboard and surface roughness, as well as snow density and depth, derived from..."
Allegheny County Hospitals,8,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
The data on health care facilities includes the name and location of all the hospitals and primary care facilities in Allegheny County. The current listing of..."
Seismic Lines in Louisiana and Texas [gcseismicg],8,"Department of the Interior —
The lines shown are those used by the USGS in developing the framework geology and models used in assessing the oil and gas resources of the Gulf Coast Region. The..."
Drainage Pipe,8,"City of Austin —
The data being collected is to be used for several purposes: - Hydraulic/hydrologic modeling input - Work Order Management System integration - Map book production -..."
DMHAS Primary Drug of Use (Mental Health/Substance Use),8,"State of Connecticut —
Unduplicated Count of Clients by Primary Drug of Use Divided by Program Type"
WA GHG Reporting Multi-Year Dataset,8,"State of Washington —
This dataset contains data reported to Ecology as of December 15, 2018. The reported emissions are preliminary and have not been fully verified by Ecology. This..."
OMIM (Online Mendelian Inheritance in Man),8,"U.S. Department of Health & Human Services —
Comprehensive, authoritative, and timely compendium of human genes and genetic phenotypes."
Global BUFR Data Stream: Upper Air Reports from the National Weather Service Telecommunications Gateway (NWS TG),8,"National Oceanic and Atmospheric Administration, Department of Commerce —
These are raw radiosonde and pilot balloon observations taken from various locations at various times around the globe transmitted through the National Weather..."
Body Worn Camera Resources,8,"Department of Justice —
Body Worn Camera Resources"
Violent Crime & Property Crime Statewide Totals: 2006 to Present,8,"State of Maryland —
This dataset shows Maryland crime versus all other states. The data are provided are the Maryland Statistical Analysis Center (MSAC), within the Governor's Office of..."
Boundaries - Wards (2023-),8,"City of Chicago —
Ward boundaries in Chicago from May 2023 onward, corresponding to the dates when a new City Council is sworn in, based on the immediately preceding elections. Neither..."
GHG Reporting Program Publication,8,"State of Washington —
This dataset contains data reported to Ecology as of January 24, 2025. This dataset contains both reported and covered emissions. Some of these emissions have been..."
State Park Annual Attendance Figures by Facility:  Beginning 2003,8,"State of New York —
The New York State Office of Parks, Recreation and Historic Preservation (OPRHP) oversees more than 250 state parks, historic sites, recreational trails, golf..."
"F00883: NOS Hydrographic Survey , 2023-08-07",8,"National Oceanic and Atmospheric Administration, Department of Commerce —
The National Oceanic and Atmospheric Administration (NOAA) has the statutory mandate to collect hydrographic data in support of nautical chart compilation for safe..."
"Greater Yellowstone Network Published Water Quality Data through 2023 from the BICAWQ01, GRTEWQ01, and YELLWQ01 Projects as of 2024-04-29",8,"Department of the Interior —
This data package was created 2024-06-22 08:26:17 by NPSTORET and includes selected project, location, and result data. Data contained in the Greater Yellowstone..."
Species Distribution: Hawaiian Monk Seal - Hawaii,8,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset contains a collection of known point locations of Hawaiian monk seals identified via automated satellite tracking of tagged organisms. This can be useful..."
Department of Motor Vehicle (DMV) Office Locations,8,"State of New York —
This dataset contains the list of all Department of Motor Vehicle, (DMV), offices in NYS, with addresses, office hours, latitude and longitude coordinates, and phone..."
"Therapeutic Change, Length of Stay, and Recidivism in Incarcerated Juvenile Offenders in Washington State, 2008-2015",8,"Department of Justice —
These data are part of NACJD's Fast Track Release and are distributed as they were received from the data depositor. The files have been zipped by NACJD for release,..."
"2022 Cartographic Boundary File (KML), Current Place for New Hampshire, 1:500,000",8,"U.S. Census Bureau, Department of Commerce —
The 2022 cartographic boundary KMLs are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File / Topologically..."
H-2A Program Historical Data,8,"Department of Labor —
This dataset includes data that ETA's Office of Foreign Labor Certification (OFLC) collected from H-2A applications during previous fiscal years. It includes..."
"Supporting data for ""Lee, S., Cherry, J., Safoutin, M., Neam, A., McDonald, J., Newman, K.  2018. Modeling and Controls Development of 48 V Mild Hybrid Electric Vehicles. SAE 2018-01-0413"" V1",8,"U.S. Environmental Protection Agency —
The purpose of this work was to develop a 48 V mild hybrid electric vehicle (MHEV) model for drive cycle simulation using the EPA Advanced Light-Duty Powertrain and..."
SNAP State Directory of Resources,8,"Department of Agriculture —
To apply for benefits, or for information about the SNAP, contact your local SNAP office using the information in the map below. You can find local offices and each..."
Randomized Battery Usage 4: 40C Right-Skewed Random Walk,8,"National Aeronautics and Space Administration —
This dataset is part of a series of datasets, where batteries are continuously cycled with randomly generated current profiles. Reference charging and discharging..."
Office of Hearings and Appeals Decisions and Orders,8,"Department of Housing and Urban Development —
The HUD Office of Hearings and Appeals (OHA) is an independent judicial office within the Office of the Secretary. This office provides information on substantive and..."
Census Demographics at the Neighborhood Tabulation Area (NTA) level,8,"City of New York —
Table of Census Demographics represented at the NTA level. NTAs are aggregations of census tracts that are subsets of New York City's 55 Public Use Micro data Areas..."
Office of Hearings and Appeals,8,"Social Security Administration —
Stores data for cases at the hearing, appeal, and federal court adjudicative levels. It is legacy data that was converted from IDMS to DB2."
"Digital elevation model (DEM) of the Sacramento River Deep Water Ship Channel (DWSC), Sacramento-San Joaquin Delta, California",8,"Department of the Interior —
This metadata describes a digital elevation model (DEM) created from bathymetric and topographic data collected between 2017 and 2019 in the Sacramento River Deep..."
